"VendorID16","VendorID10","VendorName","DeviceID16","DeviceID10","DeviceName"
"0001","1","Fry's Electronics","7778","30584","Counterfeit flash drive [Kingston]"
"0002","2","Ingram","Missing[""NotApplicable""]","Missing[""NotApplicable""]","Missing[""NotApplicable""]"
"0003","3","Club Mac","Missing[""NotApplicable""]","Missing[""NotApplicable""]","Missing[""NotApplicable""]"
"0004","4","Nebraska Furniture Mart","Missing[""NotApplicable""]","Missing[""NotApplicable""]","Missing[""NotApplicable""]"
"0011","17","Unknown","7788","30600","counterfeit flash drive"
"0053","83","Planex","5301","21249","GW-US54ZGL 802.11bg"
"0079","121","DragonRise Inc.","0006","6","PC TWIN SHOCK Gamepad"
"0079","121","DragonRise Inc.","0011","17","Gamepad"
"0105","261","Trust International B.V.","145f","5215","NW-3100 802.11b/g 54Mbps Wireless Network Adapter [zd1211]"
"0127","295","IBP","0002","2","HDM Interface"
"0127","295","IBP","0127","295","ibp"
"0145","325","Unknown","0112","274","Card Reader"
"017c","380","MLK","145f","5215","Trust Deskset"
"0200","512","TP-Link","0201","513","MA180 UMTS Modem"
"0204","516","Chipsbank Microelectronics Co., Ltd","6025","24613","CBM2080 / CBM2090 Flash drive controller"
"0204","516","Chipsbank Microelectronics Co., Ltd","6026","24614","CBM1180 Flash drive controller"
"0218","536","Hangzhou Worlde","0301","769","MIDI Port"
"02ad","685","HUMAX Co., Ltd.","138c","5004","PVR Mass Storage"
"0324","804","OCZ Technology Inc","bc06","48134","OCZ ATV USB 2.0 Flash Drive"
"0324","804","OCZ Technology Inc","bc08","48136","OCZ Rally2/ATV USB 2.0 Flash Drive"
"0325","805","OCZ Technology Inc","ac02","44034","ATV Turbo / Rally2 Dual Channel USB 2.0 Flash Drive"
"0386","902","LTS","0001","1","PSX for USB Converter"
"03d9","985","Shenzhen Sinote Tech-Electron Co., Ltd","0499","1177","SE340D PC Remote Control"
"03da","986","Bernd Walter Computer Technology","0002","2","HD44780 LCD interface"
"03e8","1000","EndPoints, Inc.","0004","4","SE401 Webcam"
"03e8","1000","EndPoints, Inc.","0008","8","101 Ethernet [klsi]"
"03e8","1000","EndPoints, Inc.","0015","21","ATAPI Enclosure"
"03e8","1000","EndPoints, Inc.","2123","8483","SiPix StyleCam Deluxe"
"03e8","1000","EndPoints, Inc.","8004","32772","Aox 99001"
"03e9","1001","Thesys Microelectronics","Missing[""NotApplicable""]","Missing[""NotApplicable""]","Missing[""NotApplicable""]"
"03ea","1002","Data Broadcasting Corp.","Missing[""NotApplicable""]","Missing[""NotApplicable""]","Missing[""NotApplicable""]"
"03eb","1003","Atmel Corp.","0902","2306","4-Port Hub"
"03eb","1003","Atmel Corp.","2002","8194","Mass Storage Device"
"03eb","1003","Atmel Corp.","2015","8213","at90usbkey sample firmware (HID keyboard)"
"03eb","1003","Atmel Corp.","2018","8216","at90usbkey sample firmware (CDC ACM)"
"03eb","1003","Atmel Corp.","2019","8217","stk525 sample firmware (microphone)"
"03eb","1003","Atmel Corp.","201c","8220","at90usbkey sample firmware (HID mouse)"
"03eb","1003","Atmel Corp.","201d","8221","at90usbkey sample firmware (HID generic)"
"03eb","1003","Atmel Corp.","2022","8226","at90usbkey sample firmware (composite device)"
"03eb","1003","Atmel Corp.","2040","8256","LUFA Test PID"
"03eb","1003","Atmel Corp.","2041","8257","LUFA Mouse Demo Application"
"03eb","1003","Atmel Corp.","2042","8258","LUFA Keyboard Demo Application"
"03eb","1003","Atmel Corp.","2043","8259","LUFA Joystick Demo Application"
"03eb","1003","Atmel Corp.","2044","8260","LUFA CDC Demo Application"
"03eb","1003","Atmel Corp.","2045","8261","LUFA Mass Storage Demo Application"
"03eb","1003","Atmel Corp.","2046","8262","LUFA Audio Output Demo Application"
"03eb","1003","Atmel Corp.","2047","8263","LUFA Audio Input Demo Application"
"03eb","1003","Atmel Corp.","2048","8264","LUFA MIDI Demo Application"
"03eb","1003","Atmel Corp.","2049","8265","Stripe Snoop Magnetic Stripe Reader"
"03eb","1003","Atmel Corp.","204a","8266","LUFA CDC Class Bootloader"
"03eb","1003","Atmel Corp.","204b","8267","LUFA USB to Serial Adapter Project"
"03eb","1003","Atmel Corp.","204c","8268","LUFA RNDIS Demo Application"
"03eb","1003","Atmel Corp.","204d","8269","LUFA Combined Mouse and Keyboard Demo Application"
"03eb","1003","Atmel Corp.","204e","8270","LUFA Dual CDC Demo Application"
"03eb","1003","Atmel Corp.","204f","8271","LUFA Generic HID Demo Application"
"03eb","1003","Atmel Corp.","2060","8288","Benito Programmer Project"
"03eb","1003","Atmel Corp.","2061","8289","LUFA Combined Mass Storage and Keyboard Demo Application"
"03eb","1003","Atmel Corp.","2062","8290","LUFA Combined CDC and Mouse Demo Application"
"03eb","1003","Atmel Corp.","2063","8291","LUFA Datalogger Device"
"03eb","1003","Atmel Corp.","2064","8292","Interfaceless Control-Only LUFA Devices"
"03eb","1003","Atmel Corp.","2065","8293","LUFA Test and Measurement Demo Application"
"03eb","1003","Atmel Corp.","2066","8294","LUFA Multiple Report HID Demo"
"03eb","1003","Atmel Corp.","2068","8296","LUFA Virtual Serial/Mass Storage Demo"
"03eb","1003","Atmel Corp.","2069","8297","LUFA Webserver Project"
"03eb","1003","Atmel Corp.","2103","8451","JTAG ICE mkII"
"03eb","1003","Atmel Corp.","2104","8452","AVR ISP mkII"
"03eb","1003","Atmel Corp.","2105","8453","AVRONE!"
"03eb","1003","Atmel Corp.","2106","8454","STK600 development board"
"03eb","1003","Atmel Corp.","2107","8455","AVR Dragon"
"03eb","1003","Atmel Corp.","2109","8457","STK541 ZigBee Development Board"
"03eb","1003","Atmel Corp.","210d","8461","XPLAIN evaluation kit (CDC ACM)"
"03eb","1003","Atmel Corp.","2110","8464","AVR JTAGICE3 Debugger and Programmer"
"03eb","1003","Atmel Corp.","2111","8465","Xplained Pro board debugger and programmer"
"03eb","1003","Atmel Corp.","2122","8482","XMEGA-A1 Explained evaluation kit"
"03eb","1003","Atmel Corp.","2140","8512","AVR JTAGICE3 (v3.x) Debugger and Programmer"
"03eb","1003","Atmel Corp.","2141","8513","ICE debugger"
"03eb","1003","Atmel Corp.","2145","8517","ATMEGA328P-XMINI (CDC ACM)"
"03eb","1003","Atmel Corp.","2310","8976","EVK11xx evaluation board"
"03eb","1003","Atmel Corp.","2404","9220","The Micro"
"03eb","1003","Atmel Corp.","2fe4","12260","ATxmega32A4U DFU bootloader"
"03eb","1003","Atmel Corp.","2fe6","12262","Cactus V6 (DFU)"
"03eb","1003","Atmel Corp.","2fea","12266","Cactus RF60 (DFU)"
"03eb","1003","Atmel Corp.","2fee","12270","atmega8u2 DFU bootloader"
"03eb","1003","Atmel Corp.","2fef","12271","atmega16u2 DFU bootloader"
"03eb","1003","Atmel Corp.","2ff0","12272","atmega32u2 DFU bootloader"
"03eb","1003","Atmel Corp.","2ff1","12273","at32uc3a3 DFU bootloader"
"03eb","1003","Atmel Corp.","2ff3","12275","atmega16u4 DFU bootloader"
"03eb","1003","Atmel Corp.","2ff4","12276","atmega32u4 DFU bootloader"
"03eb","1003","Atmel Corp.","2ff6","12278","at32uc3b0/1 DFU bootloader"
"03eb","1003","Atmel Corp.","2ff7","12279","at90usb82 DFU bootloader"
"03eb","1003","Atmel Corp.","2ff8","12280","at32uc3a0/1 DFU bootloader"
"03eb","1003","Atmel Corp.","2ff9","12281","at90usb646/647 DFU bootloader"
"03eb","1003","Atmel Corp.","2ffa","12282","at90usb162 DFU bootloader"
"03eb","1003","Atmel Corp.","2ffb","12283","at90usb AVR DFU bootloader"
"03eb","1003","Atmel Corp.","2ffd","12285","at89c5130/c5131 DFU bootloader"
"03eb","1003","Atmel Corp.","2fff","12287","at89c5132/c51snd1c DFU bootloader"
"03eb","1003","Atmel Corp.","3301","13057","at43301 4-Port Hub"
"03eb","1003","Atmel Corp.","3312","13074","4-Port Hub"
"03eb","1003","Atmel Corp.","4102","16642","AirVast W-Buddie WN210"
"03eb","1003","Atmel Corp.","5601","22017","at76c510 Prism-II 802.11b Access Point"
"03eb","1003","Atmel Corp.","5603","22019","Cisco 7920 WiFi IP Phone"
"03eb","1003","Atmel Corp.","6119","24857","AT91SAM CDC Demo Application"
"03eb","1003","Atmel Corp.","6124","24868","at91sam SAMBA bootloader"
"03eb","1003","Atmel Corp.","6127","24871","AT91SAM HID Keyboard Demo Application"
"03eb","1003","Atmel Corp.","6129","24873","AT91SAM Mass Storage Demo Application"
"03eb","1003","Atmel Corp.","6200","25088","AT91SAM HID Mouse Demo Application"
"03eb","1003","Atmel Corp.","7603","30211","D-Link DWL-120 802.11b Wireless Adapter [Atmel at76c503a]"
"03eb","1003","Atmel Corp.","7604","30212","at76c503a 802.11b Adapter"
"03eb","1003","Atmel Corp.","7605","30213","at76c503a 802.11b Adapter"
"03eb","1003","Atmel Corp.","7606","30214","at76c505 802.11b Adapter"
"03eb","1003","Atmel Corp.","7611","30225","at76c510 rfmd2948 802.11b Access Point"
"03eb","1003","Atmel Corp.","7613","30227","WL-1130 USB"
"03eb","1003","Atmel Corp.","7614","30228","AT76c505a Wireless Adapter"
"03eb","1003","Atmel Corp.","7615","30229","AT76C505AMX Wireless Adapter"
"03eb","1003","Atmel Corp.","7617","30231","AT76C505AS Wireless Adapter"
"03eb","1003","Atmel Corp.","7800","30720","Mini Album"
"03eb","1003","Atmel Corp.","800c","32780","Airspy HF+"
"03eb","1003","Atmel Corp.","ff07","65287","Tux Droid fish dongle"
"03ec","1004","Iwatsu America, Inc.","Missing[""NotApplicable""]","Missing[""NotApplicable""]","Missing[""NotApplicable""]"
"03ed","1005","Mitel Corp.","Missing[""NotApplicable""]","Missing[""NotApplicable""]","Missing[""NotApplicable""]"
"03ee","1006","Mitsumi","0000","0","CD-R/RW Drive"
"03ee","1006","Mitsumi","2501","9473","eHome Infrared Receiver"
"03ee","1006","Mitsumi","2502","9474","eHome Infrared Receiver"
"03ee","1006","Mitsumi","5609","22025","Japanese Keyboard"
"03ee","1006","Mitsumi","641f","25631","WIF-0402C Bluetooth Adapter"
"03ee","1006","Mitsumi","6438","25656","Bluetooth Device"
"03ee","1006","Mitsumi","6440","25664","WML-C52APR Bluetooth Adapter"
"03ee","1006","Mitsumi","6901","26881","SmartDisk FDD"
"03ee","1006","Mitsumi","6902","26882","Floppy Disk Drive"
"03ee","1006","Mitsumi","7500","29952","CD-R/RW"
"03ee","1006","Mitsumi","ffff","65535","Dongle with BlueCore in DFU mode"
"03f0","1008","Hewlett-Packard","0004","4","DeskJet 895c"
"03f0","1008","Hewlett-Packard","0011","17","OfficeJet G55"
"03f0","1008","Hewlett-Packard","0012","18","DeskJet 1125C Printer Port"
"03f0","1008","Hewlett-Packard","0024","36","KU-0316 Keyboard"
"03f0","1008","Hewlett-Packard","002a","42","LaserJet P1102"
"03f0","1008","Hewlett-Packard","0101","257","ScanJet 4100c"
"03f0","1008","Hewlett-Packard","0102","258","PhotoSmart S20"
"03f0","1008","Hewlett-Packard","0104","260","DeskJet 880c/970c"
"03f0","1008","Hewlett-Packard","0105","261","ScanJet 4200c"
"03f0","1008","Hewlett-Packard","0107","263","CD-Writer Plus"
"03f0","1008","Hewlett-Packard","010c","268","Multimedia Keyboard Hub"
"03f0","1008","Hewlett-Packard","0111","273","G55xi Printer/Scanner/Copier"
"03f0","1008","Hewlett-Packard","0117","279","LaserJet 3200"
"03f0","1008","Hewlett-Packard","011c","284","hn210w 802.11b Adapter"
"03f0","1008","Hewlett-Packard","011d","285","Bluetooth 1.2 Interface [Broadcom BCM2035]"
"03f0","1008","Hewlett-Packard","0121","289","HP 39g+ [F2224A], 39gs [F2223A], 40gs [F2225A], 48gII [F2226A], 49g+ [F2228A], 50g [F2229A, NW240AA]"
"03f0","1008","Hewlett-Packard","0122","290","HID Internet Keyboard"
"03f0","1008","Hewlett-Packard","0125","293","DAT72 Tape"
"03f0","1008","Hewlett-Packard","0139","313","Barcode Scanner 4430"
"03f0","1008","Hewlett-Packard","0201","513","ScanJet 6200c"
"03f0","1008","Hewlett-Packard","0202","514","PhotoSmart S20"
"03f0","1008","Hewlett-Packard","0204","516","DeskJet 815c"
"03f0","1008","Hewlett-Packard","0205","517","ScanJet 3300c"
"03f0","1008","Hewlett-Packard","0207","519","CD-Writer Plus 8200e"
"03f0","1008","Hewlett-Packard","020c","524","Multimedia Keyboard"
"03f0","1008","Hewlett-Packard","0211","529","OfficeJet G85"
"03f0","1008","Hewlett-Packard","0212","530","DeskJet 1220C"
"03f0","1008","Hewlett-Packard","0217","535","LaserJet 2200"
"03f0","1008","Hewlett-Packard","0218","536","APOLLO P2500/2600"
"03f0","1008","Hewlett-Packard","0221","545","StreamSmart 400 [F2235AA]"
"03f0","1008","Hewlett-Packard","022a","554","Laserjet CP1525nw"
"03f0","1008","Hewlett-Packard","0241","577","Link-5 micro dongle"
"03f0","1008","Hewlett-Packard","0304","772","DeskJet 810c/812c"
"03f0","1008","Hewlett-Packard","0305","773","ScanJet 4300c"
"03f0","1008","Hewlett-Packard","0307","775","CD-Writer+ CD-4e"
"03f0","1008","Hewlett-Packard","0311","785","OfficeJet G85xi"
"03f0","1008","Hewlett-Packard","0312","786","Color Inkjet CP1700"
"03f0","1008","Hewlett-Packard","0314","788","designjet 30/130 series"
"03f0","1008","Hewlett-Packard","0317","791","LaserJet 1200"
"03f0","1008","Hewlett-Packard","0324","804","SK-2885 keyboard"
"03f0","1008","Hewlett-Packard","034a","842","Elite Keyboard"
"03f0","1008","Hewlett-Packard","0401","1025","ScanJet 5200c"
"03f0","1008","Hewlett-Packard","0404","1028","DeskJet 830c/832c"
"03f0","1008","Hewlett-Packard","0405","1029","ScanJet 3400cse"
"03f0","1008","Hewlett-Packard","0411","1041","OfficeJet G95"
"03f0","1008","Hewlett-Packard","0412","1042","Printing Support"
"03f0","1008","Hewlett-Packard","0417","1047","LaserJet 1200 series"
"03f0","1008","Hewlett-Packard","0423","1059","HS-COMBO Cardreader"
"03f0","1008","Hewlett-Packard","042a","1066","LaserJet M1132 MFP"
"03f0","1008","Hewlett-Packard","0441","1089","Prime [NW280AA, G8X92AA]"
"03f0","1008","Hewlett-Packard","0504","1284","DeskJet 885c"
"03f0","1008","Hewlett-Packard","0505","1285","ScanJet 2100c"
"03f0","1008","Hewlett-Packard","0507","1287","DVD+RW"
"03f0","1008","Hewlett-Packard","050c","1292","5219 Wireless Keyboard"
"03f0","1008","Hewlett-Packard","0511","1297","OfficeJet K60"
"03f0","1008","Hewlett-Packard","0512","1298","DeckJet 450"
"03f0","1008","Hewlett-Packard","0517","1303","LaserJet 1000"
"03f0","1008","Hewlett-Packard","051d","1309","Bluetooth Interface"
"03f0","1008","Hewlett-Packard","0601","1537","ScanJet 6300c"
"03f0","1008","Hewlett-Packard","0604","1540","DeskJet 840c"
"03f0","1008","Hewlett-Packard","0605","1541","ScanJet 2200c"
"03f0","1008","Hewlett-Packard","0611","1553","OfficeJet K60xi"
"03f0","1008","Hewlett-Packard","0612","1554","business inkjet 3000"
"03f0","1008","Hewlett-Packard","0624","1572","Bluetooth Dongle"
"03f0","1008","Hewlett-Packard","0701","1793","ScanJet 5300c/5370c"
"03f0","1008","Hewlett-Packard","0704","1796","DeskJet 825c"
"03f0","1008","Hewlett-Packard","0705","1797","ScanJet 4400c"
"03f0","1008","Hewlett-Packard","070c","1804","Personal Media Drive"
"03f0","1008","Hewlett-Packard","0711","1809","OfficeJet K80"
"03f0","1008","Hewlett-Packard","0712","1810","DeskJet 1180c"
"03f0","1008","Hewlett-Packard","0714","1812","Printing Support"
"03f0","1008","Hewlett-Packard","0741","1857","Prime Wireless Kit [FOK65AA]"
"03f0","1008","Hewlett-Packard","0801","2049","ScanJet 7400c"
"03f0","1008","Hewlett-Packard","0804","2052","DeskJet 816c"
"03f0","1008","Hewlett-Packard","0805","2053","HP4470C"
"03f0","1008","Hewlett-Packard","0811","2065","OfficeJet K80xi"
"03f0","1008","Hewlett-Packard","0817","2071","LaserJet 3300"
"03f0","1008","Hewlett-Packard","0901","2305","ScanJet 2300c"
"03f0","1008","Hewlett-Packard","0904","2308","DeskJet 845c"
"03f0","1008","Hewlett-Packard","0912","2322","Printing Support"
"03f0","1008","Hewlett-Packard","0917","2327","LaserJet 3330"
"03f0","1008","Hewlett-Packard","0924","2340","Modular Smartcard Keyboard"
"03f0","1008","Hewlett-Packard","094a","2378","Optical Mouse [672662-001]"
"03f0","1008","Hewlett-Packard","0a01","2561","ScanJet 2400c"
"03f0","1008","Hewlett-Packard","0a17","2583","color LaserJet 3700"
"03f0","1008","Hewlett-Packard","0b01","2817","ScanJet 82x0C"
"03f0","1008","Hewlett-Packard","0b0c","2828","Wireless Keyboard and Optical Mouse receiver"
"03f0","1008","Hewlett-Packard","0b17","2839","LaserJet 2300d"
"03f0","1008","Hewlett-Packard","0c17","3095","LaserJet 1010"
"03f0","1008","Hewlett-Packard","0c24","3108","Bluetooth Dongle"
"03f0","1008","Hewlett-Packard","0d12","3346","OfficeJet 9100 series"
"03f0","1008","Hewlett-Packard","0d17","3351","LaserJet 1012"
"03f0","1008","Hewlett-Packard","0d4a","3402","SK-2025 Keyboard"
"03f0","1008","Hewlett-Packard","0e17","3607","LaserJet 1015"
"03f0","1008","Hewlett-Packard","0f0c","3852","Wireless Keyboard and Optical Mouse receiver"
"03f0","1008","Hewlett-Packard","0f11","3857","OfficeJet V40"
"03f0","1008","Hewlett-Packard","0f12","3858","Printing Support"
"03f0","1008","Hewlett-Packard","0f17","3863","LaserJet 1150"
"03f0","1008","Hewlett-Packard","0f2a","3882","LaserJet 400 color M451dn"
"03f0","1008","Hewlett-Packard","1001","4097","Photo Scanner 1000"
